årednie kursy USD Narodowego Banku Polskiego

Data;Kurs;Zmiana;Nazwa Tabeli
2015-05-04;3.6320;0.93;084/A/NBP/2015
2015-04-30;3.5987;-1.12;083/A/NBP/2015
2015-04-29;3.6396;-0.97;082/A/NBP/2015
2015-04-28;3.6751;-0.98;081/A/NBP/2015
2015-04-27;3.7115;0.60;080/A/NBP/2015
2015-04-24;3.6895;-1.27;079/A/NBP/2015
2015-04-23;3.7371;0.66;078/A/NBP/2015
2015-04-22;3.7125;-0.40;077/A/NBP/2015
2015-04-21;3.7275;-0.07;076/A/NBP/2015
2015-04-20;3.7302;0.07;075/A/NBP/2015
2015-04-17;3.7277;-1.24;074/A/NBP/2015
2015-04-16;3.7746;-0.34;073/A/NBP/2015


èrÛd≥o: Bankier.pl

