årednie kursy CHF Narodowego Banku Polskiego

Data;Kurs;Zmiana;Nazwa Tabeli
2015-05-04;3.8756;0.83;084/A/NBP/2015
2015-04-30;3.8438;0.74;083/A/NBP/2015
2015-04-29;3.8156;-0.74;082/A/NBP/2015
2015-04-28;3.8441;-0.98;081/A/NBP/2015
2015-04-27;3.8822;0.23;080/A/NBP/2015
2015-04-24;3.8732;0.20;079/A/NBP/2015
2015-04-23;3.8653;-0.90;078/A/NBP/2015
2015-04-22;3.9005;0.46;077/A/NBP/2015
2015-04-21;3.8828;-0.67;076/A/NBP/2015
2015-04-20;3.9090;0.05;075/A/NBP/2015
2015-04-17;3.9072;0.44;074/A/NBP/2015
2015-04-16;3.8901;0.26;073/A/NBP/2015


èrÛd≥o: Bankier.pl

