årednie kursy EUR Narodowego Banku Polskiego

Data;Kurs;Zmiana;Nazwa Tabeli
2015-04-30;4.0337;0.69;083/A/NBP/2015
2015-04-29;4.0060;-0.04;082/A/NBP/2015
2015-04-28;4.0075;-0.35;081/A/NBP/2015
2015-04-27;4.0214;0.13;080/A/NBP/2015
2015-04-24;4.0161;0.21;079/A/NBP/2015
2015-04-23;4.0075;0.15;078/A/NBP/2015
2015-04-22;4.0015;0.48;077/A/NBP/2015
2015-04-21;3.9822;-0.72;076/A/NBP/2015
2015-04-20;4.0112;-0.54;075/A/NBP/2015
2015-04-17;4.0330;0.47;074/A/NBP/2015
2015-04-16;4.0140;0.14;073/A/NBP/2015


èrÛd≥o: Bankier.pl

